micros,aX,aY,aZ,gX,gY,gZ,
112774309,-48.34,-12.70,1004.88,-1.37,0.81,2.52,
112794314,-29.30,-19.53,1004.88,0.99,1.10,3.13,
112814319,-21.97,-31.25,1009.77,0.69,-1.44,-0.23,
112834323,-41.99,-41.50,1009.28,-3.24,0.93,-2.99,
112854328,-36.13,-24.41,1008.30,-0.89,-0.06,0.34,
112874338,-36.62,-21.48,1006.84,0.81,-1.53,0.73,
112894344,-41.50,-30.27,1019.04,-0.89,0.23,0.23,
112914348,-28.81,-27.83,1007.32,-0.12,0.15,2.53,
112934357,-43.95,-26.37,1013.67,-0.63,-0.78,1.01,
112954366,-41.50,-41.02,999.02,0.79,-0.05,-0.92,
112974376,-40.04,-35.16,999.02,-1.19,0.56,0.67,
112994383,-41.99,-35.16,1000.98,0.92,0.64,1.63,
113014391,-47.85,-27.83,1003.42,0.64,-1.37,3.11,
113034400,-37.11,-38.57,1021.48,-1.36,0.37,-0.37,
113054407,-46.39,-36.13,1014.16,0.99,-4.41,0.27,
113074417,-45.90,-35.64,1004.39,1.48,-0.64,-0.52,
113094424,-30.76,-26.86,1012.70,0.79,2.20,-2.81,
113114433,-41.99,-24.90,1006.84,-0.46,1.19,-0.20,
113134440,-36.62,-32.23,1002.93,0.73,1.21,1.30,
113154450,-44.92,-29.79,1006.84,0.41,-0.29,0.12,
113174461,-32.71,-30.27,1011.72,-0.02,1.48,1.22,
113194471,-41.50,-31.25,1012.70,2.20,-1.36,3.86,
113214481,-42.48,-37.60,1021.48,1.69,-0.14,-0.78,
113234487,-35.64,-33.20,1012.70,0.06,0.29,2.69,
113254496,-29.30,-33.20,1014.65,-0.15,0.79,1.10,
113274502,-42.48,-40.53,1006.35,-0.26,-2.27,-0.38,
113294507,-36.62,-32.23,1002.44,-0.21,0.50,-0.73,
113314515,-49.32,-35.16,1000.00,-0.06,0.05,-0.82,
113334523,-35.16,-33.69,999.51,0.11,-1.33,0.56,
113354533,-42.48,-27.34,991.70,2.63,0.61,2.50,
113374541,-32.71,-26.86,1008.79,0.72,-1.40,-0.31,
113394546,-40.04,-35.16,1007.81,-0.03,1.73,1.37,
113414552,-26.86,-28.81,1000.00,3.53,-1.08,2.75,
113434561,-44.92,-36.62,1013.67,2.52,1.33,0.64,
113454567,-45.90,-23.93,1009.77,0.84,-0.17,-1.16,
113474572,-44.43,-26.86,1012.21,2.27,-0.29,1.05,
113494583,-45.90,-23.44,1004.39,0.26,-1.82,-0.32,
113514588,-56.64,-21.00,1014.65,0.00,-0.31,-0.93,
113534597,-34.18,-27.34,1001.95,-0.17,-2.27,0.47,
113554605,-27.34,-30.76,1008.30,1.85,-0.18,0.85,
113574610,-34.67,-25.88,1002.44,-0.73,-2.44,0.50,
