micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
4417974,-209.47,-996.58,236.33,-18.15,238.31,-62.66,-9.00,-57.45,91.95,
4437983,376.46,-869.63,21.00,-36.35,213.37,-52.47,-7.95,-56.10,91.95,
4457989,645.02,-837.89,-308.59,-20.84,88.40,1.63,-6.45,-56.85,92.40,
4477997,384.77,-876.95,-94.24,18.31,-71.97,37.07,-6.45,-57.45,93.00,
4498002,129.88,-989.26,144.53,39.24,-149.45,17.79,-5.10,-56.40,94.50,
4518010,84.47,-996.58,-112.79,-6.87,-60.09,-12.21,-4.95,-57.00,92.85,
4538017,282.71,-932.13,-154.30,26.67,60.61,-45.28,-6.15,-57.45,93.45,
4558025,295.41,-921.39,-53.22,53.01,34.02,-8.70,-8.25,-56.85,91.65,
4578031,-44.92,-1083.50,-208.50,47.08,99.73,-26.06,-6.45,-55.35,93.00,
4598041,356.93,-996.09,-43.46,32.70,106.27,-36.76,-6.60,-56.25,95.70,
4618045,263.18,-996.58,-339.84,38.35,72.76,-40.98,-5.70,-56.40,96.60,
4638056,468.75,-957.03,-190.43,88.15,105.65,-21.07,-7.50,-54.90,97.20,
4658066,203.61,-963.38,-119.63,112.72,192.73,1.94,-6.00,-54.75,98.85,
4678071,368.65,-1011.72,225.10,54.11,105.28,-21.01,-4.20,-54.45,99.45,
4698077,436.52,-844.73,136.23,-20.99,240.41,-34.67,-2.70,-52.65,100.50,
4718086,314.94,-902.34,300.78,-100.20,500.26,-93.79,-1.65,-53.25,100.20,
4738092,-632.81,-934.57,-120.12,-18.06,252.17,-77.25,1.50,-53.55,99.30,
4758101,261.72,-711.91,984.38,259.53,-38.61,-47.98,1.35,-52.95,100.20,
4778111,140.62,-847.17,555.66,184.05,5.85,-66.34,1.35,-51.45,101.25,
4798121,569.34,-831.54,249.02,110.63,-0.02,20.31,0.30,-49.35,104.40,
4818130,259.77,-857.42,302.25,107.37,25.42,32.69,1.65,-47.85,105.75,
4838136,255.86,-849.61,603.03,67.98,3.21,-4.70,0.15,-45.75,107.70,
4858144,511.23,-937.99,580.57,2.44,-24.56,-13.92,2.55,-44.40,108.00,
4878153,674.80,-935.55,431.15,25.30,22.56,17.22,2.10,-45.30,108.15,
4898163,541.02,-847.66,340.33,5.71,114.47,33.16,1.65,-44.85,108.90,
4918173,668.46,-802.25,256.84,3.16,28.17,107.91,3.45,-44.85,108.45,
4938184,86.91,-824.71,458.98,45.13,-24.82,99.01,4.35,-45.45,108.60,
4958192,164.06,-785.64,635.74,43.82,-44.12,63.13,5.55,-45.30,108.45,
4978199,463.87,-866.70,278.81,49.27,-116.67,82.95,4.50,-44.85,109.95,
4998206,211.91,-944.82,-68.85,209.79,-48.73,61.71,5.10,-43.20,109.65,
5018216,35.64,-722.66,705.08,244.46,-62.81,56.47,4.95,-40.95,111.00,
5038228,90.82,-787.60,967.29,158.20,-34.78,-15.31,3.45,-36.45,113.70,
5058236,269.04,-645.51,605.47,124.35,-24.92,-17.57,3.15,-35.70,114.75,
