micros,aX,aY,aZ,gX,gY,gZ,
6589805,29.30,-21.00,-996.58,-1.08,-0.75,-1.18,
6609815,30.27,0.49,-1014.65,0.14,3.10,-0.67,
6629821,24.41,-13.18,-1016.60,0.37,-1.13,0.95,
6649832,37.11,-9.77,-1012.70,-0.26,-0.38,-0.26,
6669840,37.11,-3.42,-1002.93,0.43,1.04,1.18,
6689844,34.67,-3.91,-1014.65,-1.10,-0.92,-0.60,
6709853,35.64,-8.79,-1005.86,1.31,1.60,-1.94,
6729859,28.81,-11.72,-1013.67,0.84,0.63,3.08,
6749864,28.32,-8.79,-1013.18,1.71,0.47,-3.63,
6769874,49.32,-13.18,-993.65,1.21,0.20,-0.41,
6789885,30.27,-4.39,-1016.11,1.25,-1.73,-0.49,
6809895,31.74,-23.93,-1007.32,0.47,0.24,3.83,
6829906,39.55,-18.55,-1009.77,-0.34,1.25,1.83,
6849913,20.02,-9.28,-1019.53,2.05,2.14,-0.24,
6869918,21.97,-16.60,-1011.72,1.15,0.00,0.40,
6889924,34.67,-6.84,-990.72,-0.50,-0.63,1.95,
6909931,21.00,-15.14,-1013.67,-1.73,-0.55,0.34,
6929941,29.30,-16.11,-1009.77,-2.18,-2.66,-1.25,
6949947,30.76,-5.37,-1024.41,0.27,-0.44,0.70,
6969957,39.55,9.77,-1007.81,2.06,-1.05,-2.08,
6989969,35.64,-6.84,-1026.37,1.22,-1.39,0.72,
7009973,24.90,1.46,-1005.86,0.93,-0.43,-2.46,
7029980,42.48,-5.86,-1021.00,-0.43,-0.26,-0.41,
7049984,29.79,-13.67,-1022.46,0.18,1.34,0.08,
7069991,29.30,-14.16,-1015.14,-2.52,0.17,-1.10,
7089997,39.06,-12.70,-1027.83,-0.49,-0.43,0.44,
7110009,44.43,-10.74,-1026.86,-2.26,-7.42,0.96,
7130018,38.09,-16.60,-1022.95,1.21,-2.08,-1.19,
7150022,27.83,0.98,-1006.84,2.70,0.56,-2.47,
7170028,40.04,-15.62,-1013.18,-0.23,-1.59,-0.60,
7190040,29.79,-15.62,-1010.74,-0.79,-1.30,0.11,
7210047,36.13,-8.79,-970.21,-0.14,3.51,2.95,
7230057,35.16,-14.65,-1027.83,-0.15,0.56,0.05,
7250064,35.16,-2.44,-970.21,-1.59,2.29,3.25,
7270073,38.57,-4.39,-1023.44,-0.17,0.55,-0.73,
7290078,38.57,-3.91,-1008.79,0.76,-3.47,0.32,
7310088,29.30,-12.21,-1017.58,1.48,-1.42,1.16,
7330095,27.83,-12.70,-1008.79,-0.63,1.24,-2.35,
