micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
6925894,557.62,782.71,-261.23,-1.89,1.97,-4.08,-28.35,39.90,61.80,
6945903,563.96,771.97,-257.81,-0.98,2.98,-0.40,-30.15,37.80,61.80,
6965908,555.18,771.48,-256.35,-0.46,2.15,-2.70,-30.90,38.10,64.95,
6985920,564.45,761.72,-264.16,-1.98,0.11,-0.50,-30.75,37.95,62.70,
7005927,565.43,771.48,-260.74,-0.41,0.58,-2.40,-29.55,39.90,62.55,
7025937,562.99,762.21,-263.18,0.20,3.15,-2.17,-30.30,39.45,62.40,
7045947,572.27,780.27,-254.88,-0.38,1.18,-3.68,-29.55,39.60,62.25,
7065954,564.94,761.23,-259.77,-3.16,0.20,-2.46,-30.15,38.10,62.85,
7085960,560.55,772.46,-268.07,-0.18,2.03,0.20,-30.75,39.45,63.75,
7105965,569.82,755.37,-267.09,0.21,2.31,-2.72,-30.30,38.25,62.70,
7125973,567.38,780.27,-250.00,-1.73,2.93,-1.28,-29.85,38.85,62.85,
7145982,565.92,764.65,-253.91,-0.75,2.21,0.84,-29.85,38.55,62.85,
7165991,570.31,764.65,-271.48,-1.62,1.65,0.24,-28.95,39.00,62.70,
7186002,554.69,772.95,-256.35,-3.15,-0.12,-0.61,-29.55,39.90,62.25,
7206007,569.34,757.32,-250.00,0.52,1.76,-2.21,-31.35,38.70,63.45,
7226017,571.29,768.55,-257.81,-1.39,2.02,-3.27,-29.85,39.60,61.80,
7246027,563.96,763.18,-258.79,1.74,-1.68,2.14,-29.70,39.00,62.70,
