micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
3857762,-19.53,-8.79,1047.36,4.46,2.11,-3.50,25.20,-22.35,104.55,
3877768,-36.62,-9.77,1036.62,1.15,1.85,-1.83,26.70,-22.80,105.60,
3897776,-35.64,-4.39,1045.41,1.60,2.09,-0.17,24.30,-22.20,105.75,
3917780,-64.94,6.35,1019.04,-5.79,4.98,-0.08,24.15,-21.75,104.85,
3937789,-33.20,-26.86,1010.25,-2.81,3.57,-4.99,23.85,-21.30,105.90,
3957799,-61.04,-21.48,1006.35,-3.33,5.16,-2.23,24.75,-22.20,104.70,
3977805,-49.80,-15.62,1027.34,2.29,-3.82,-0.21,23.25,-21.90,104.40,
3997810,-31.25,-15.14,1033.69,0.27,-6.20,-1.42,24.75,-22.20,105.00,
4017816,-37.11,-10.25,1037.11,2.87,-6.50,-2.53,25.65,-22.35,104.85,
4037822,-44.43,-12.21,1044.92,-1.28,4.47,-0.15,25.80,-21.90,105.45,
4057828,-30.76,1.46,1049.32,-4.09,6.40,0.56,24.90,-22.35,106.65,
4077836,-57.62,-10.25,964.36,-8.64,1.48,0.76,25.05,-22.20,105.45,
4097845,-39.06,-15.14,967.29,-1.44,1.86,0.03,24.15,-21.75,105.60,
4117855,-46.39,-15.62,1040.53,-1.21,-5.27,-1.16,24.75,-22.20,105.75,
4137864,-38.09,-13.67,1058.59,0.40,-4.44,-3.42,24.75,-21.90,105.75,
4157873,-16.60,-9.77,1021.97,2.73,-4.43,-2.32,24.75,-21.45,105.00,
4177879,-37.60,13.18,1054.20,-1.62,4.03,-1.22,24.00,-21.15,106.05,
4197888,-9.77,-15.62,1020.51,-3.91,4.87,-1.25,25.65,-21.00,104.55,
4217897,-30.27,-12.70,1047.85,4.50,4.37,-1.98,24.45,-21.75,106.20,
4237903,-30.76,-18.07,1062.01,12.08,-2.34,-4.79,24.45,-22.80,105.90,
4257909,-24.41,-7.81,1052.73,4.00,-4.64,-4.27,22.65,-22.20,106.35,
4277914,-29.79,-28.81,1065.92,-4.99,0.00,1.76,24.00,-21.45,105.75,
